painting_id,figure_id,centroid_x,centroid_y,mask_area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,iso_nearest_centroid_norm,elev_bbox_top,sal_sum,sal_high_coverage_50,is_important,norm_iso_nearest_centroid_norm,norm_elev_bbox_top,norm_sal_sum,combo_saliency_heavy
105224_The_Ghost_Story,fig_001,476.75341884607707,1210.4530479751832,520936,151,482,807,1804,0.17871871318663035,0.7768518518518519,516942.3125,0.999159205737365,False,1.0,0.6374695863746962,0.9846800043667093,0.9017073987770287
105224_The_Ghost_Story,fig_002,988.0252527649878,703.6464612901694,168536,738,333,1215,1211,0.15176955083903043,0.8458333333333333,162297.171875,0.9750973085868895,False,0.68238275460341,1.0,0.2512741822804501,0.5462327797910775
105224_The_Ghost_Story,fig_003,1330.1082435994385,1210.3215465235112,413909,935,520,1792,1826,0.1251789925407908,0.7592592592592593,354077.3125,0.8601335076067445,True,0.36899194225422866,0.5450121654501219,0.6478753353288771,0.5524386945905262
105224_The_Ghost_Story,fig_004,1834.2296541067644,1199.6825309821363,191562,1679,744,2008,1621,0.10700371732469605,0.6555555555555556,180003.5625,0.9911099278562554,False,0.15478191323731397,0.0,0.28789098168061406,0.1826409691496355
105224_The_Ghost_Story,fig_005,2145.6490582165643,901.6930060750374,163785,1899,546,2402,1392,0.09911775285980907,0.7472222222222222,94110.140625,0.5424184143847116,False,0.06183956948925819,0.4817518248175183,0.1102634648590976,0.19102958100624293
105224_The_Ghost_Story,fig_006,2544.905276595148,901.371129175931,142573,2284,552,2761,1258,0.09387079406954939,0.7444444444444445,40791.2265625,0.2881892083353791,False,0.0,0.46715328467153294,0.0,0.11678832116788324
105224_The_Ghost_Story,fig_007,2668.794843417108,1258.6202247402855,530390,2100,483,3055,1848,0.09387079406954939,0.7763888888888889,524350.4375,0.9979863873753276,False,0.0,0.6350364963503651,1.0,0.6587591240875913
108541_The_Holy_Family_with_Mary_Magdalen,fig_001,402.4840250224058,1780.9120693925897,1110205,0,758,1634,3386,0.3045294850633052,0.7770588235294118,1048327.5625,0.9874401574483992,False,0.5,0.0,0.0,0.125
108541_The_Holy_Family_with_Mary_Magdalen,fig_002,1692.7861263066675,1615.529845860242,1255484,650,306,2351,3326,0.3045294850633052,0.91,1146569.0,0.9644511598714122,True,0.5,1.0,1.0,0.875
111479_The_Miracles_of_Saint_James_the_Greater,fig_001,194.85521289221867,1613.5382668199688,215696,0,1228,455,2037,0.15312205447504723,0.6388235294117647,4209.2900390625,0.0,False,0.41907486508578573,0.7461430575035061,0.004511957506551515,0.2935604594005987
111479_The_Miracles_of_Saint_James_the_Greater,fig_002,346.8603285361244,2258.097814604836,206370,10,1834,563,2759,0.14452942218657985,0.46058823529411763,12427.7939453125,0.0,False,0.3834396264100761,0.32117812061711065,0.013321409943496556,0.18281514172854496
111479_The_Miracles_of_Saint_James_the_Greater,fig_003,831.7648053289455,1863.648443246466,1284757,167,913,1349,2862,0.14452942218657985,0.7314705882352941,932918.8125,0.6891248695278562,True,0.3834396264100761,0.967040673211781,1.0,0.8376200749054642
111479_The_Miracles_of_Saint_James_the_Greater,fig_004,1642.998356706393,1480.4998205140478,250716,1389,1096,1920,1820,0.08984752867922077,0.6776470588235295,27.43921661376953,0.0,False,0.15666367918494045,0.8387096774193549,2.9412223492673464e-05,0.24885804526282018
111479_The_Miracles_of_Saint_James_the_Greater,fig_005,1741.4270146570043,1096.922301531085,36706,1599,866,1896,1248,0.07781578279862153,0.7452941176470589,0.0,0.0,False,0.106765799030556,1.0,0.0,0.276691449757639
111479_The_Miracles_of_Saint_James_the_Greater,fig_006,1933.4897231401892,2826.4905152444057,902659,1168,2292,2672,3261,0.29319901921412933,0.3258823529411765,1507.431396484375,0.0,True,1.0,0.0,0.0016158227021329094,0.25080791135106645
111479_The_Miracles_of_Saint_James_the_Greater,fig_007,1995.6963531902027,1317.4012942243726,82675,1841,1087,2191,1576,0.0667780032753112,0.6802941176470588,0.14901962876319885,0.0,False,0.06099008158353603,0.8450210378681625,1.59734830905448e-07,0.2265028597303401
111479_The_Miracles_of_Saint_James_the_Greater,fig_008,2282.478830328538,1351.5587662541616,95514,2015,1136,2503,1546,0.05611701951727365,0.6658823529411765,10.654902458190918,0.0,False,0.016777006011173382,0.8106591865357643,1.142103933957374e-05,0.20686475865640422
111479_The_Miracles_of_Saint_James_the_Greater,fig_009,2460.636179846985,1673.191650692122,410549,2024,1113,2672,2373,0.05207162375418356,0.6726470588235294,343.25885009765625,0.0,False,0.0,0.8267882187938287,0.0003679407527197403,0.20688102507481704
111479_The_Miracles_of_Saint_James_the_Greater,fig_010,2503.384765277152,1452.0805632091187,95453,2306,1111,2663,1899,0.05207162375418356,0.673235294117647,9.486274719238281,0.0,False,0.0,0.8281907433380082,1.0168381848595513e-05,0.20705277002542635
112625_The_Offering,fig_001,374.9589179919712,2398.1766852408896,993671,0,1386,901,3240,0.3032695570926426,0.5923529411764705,225699.1875,0.047185637902283556,False,1.0,0.0,0.37721824810555904,0.4386091240527795
112625_The_Offering,fig_002,1288.7576098416168,1228.9116662992408,666801,790,471,2003,2075,0.1213662992674874,0.8614705882352941,598079.375,0.9070427308897258,False,0.0,1.0,1.0,0.75
112625_The_Offering,fig_003,1508.4653012113438,1711.606208348423,590914,993,1026,1939,2408,0.1213662992674874,0.6982352941176471,563764.1875,0.9616864721431545,True,0.0,0.3934426229508199,0.9426100708222125,0.5696656911488112
112625_The_Offering,fig_004,2521.3744298130946,2285.57235237468,906501,1771,1022,2744,3384,0.26642633803012,0.6994117647058824,148.9019775390625,0.0,False,0.7974570686472467,0.3978142076502736,0.0,0.2988178190743801
112856_The_Crucifixion_with_a_Carthusian_Monk,fig_001,457.47715962390936,2223.0834638872398,1258101,45,998,844,3302,0.3592123881863199,0.7064705882352942,1252078.625,0.9999634369577641,False,1.0,0.0,1.0,0.75
112856_The_Crucifixion_with_a_Carthusian_Monk,fig_002,1198.2720296647267,896.5594269381029,543676,400,76,2072,2162,0.30002914800254443,0.9776470588235294,487531.28125,0.903749659723806,True,0.0,1.0,0.0,0.25
112856_The_Crucifixion_with_a_Carthusian_Monk,fig_003,2114.966230866783,1774.117217524363,1244302,1663,648,2508,2915,0.30002914800254443,0.8094117647058824,1236429.0,0.9986490417921051,False,0.0,0.3796095444685466,0.9795308621134687,0.5846678171738711
115394_Adoration_of_the_Magi,fig_001,744.4705861862768,2011.4644671376902,344498,240,1528,1147,2367,0.1624652689863275,0.5505882352941176,320149.34375,0.9421331909038659,False,0.7287325402133081,0.06274509803921537,0.18020254677518147,0.28797068295072165
