painting_id,figure_id,centroid_x,centroid_y,mask_area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,iso_nearest_centroid_norm,elev_bbox_top,sal_sum,sal_high_coverage_50
141929_Laban_Searching_for_His_Stolen_Household_Gods,fig_001,51.401839755498294,1873.8651045724216,33374,0,1674,137,2107,0.06191239753649333,0.2589641434262948,18.737258911132812,0.0
141929_Laban_Searching_for_His_Stolen_Household_Gods,fig_002,54.56608204856244,1395.5570665555513,26399,0,1254,125,1591,0.06780833150961753,0.44488711819389115,0.0,0.0
141929_Laban_Searching_for_His_Stolen_Household_Gods,fig_003,166.3373886308412,1648.7832867745508,120994,0,1293,327,2095,0.06191239753649333,0.4276228419654714,19.031375885009766,0.0
141929_Laban_Searching_for_His_Stolen_Household_Gods,fig_004,331.0778188315818,1897.945940216239,66038,185,1648,493,2149,0.033551749771239925,0.27047366091190794,58.478431701660156,0.0
141929_Laban_Searching_for_His_Stolen_Household_Gods,fig_005,458.97194433481474,1848.9453815398872,58277,371,1589,637,2148,0.033551749771239925,0.29659141212926077,93.60392761230469,0.0
141929_Laban_Searching_for_His_Stolen_Household_Gods,fig_006,727.7645557926226,1701.2610254492665,90926,565,1436,933,1903,0.07513203476305542,0.36432049579459935,175.80393981933594,0.0
141929_Laban_Searching_for_His_Stolen_Household_Gods,fig_007,1242.0836252189142,1049.9049912434325,2284,1225,1002,1262,1096,0.007710025325710101,0.5564409030544488,0.0,0.0
141929_Laban_Searching_for_His_Stolen_Household_Gods,fig_008,1273.5474628926477,1049.1598205039695,2897,1252,1002,1300,1097,0.007710025325710101,0.5564409030544488,0.0,0.0
141929_Laban_Searching_for_His_Stolen_Household_Gods,fig_009,1397.7750415164649,1602.203855968245,98756,1180,1020,1569,2066,0.010009068455279706,0.548472775564409,84440.265625,0.9353862043825185
141929_Laban_Searching_for_His_Stolen_Household_Gods,fig_010,1437.142179422863,1613.1382096974721,183388,1180,1229,1635,2065,0.010009068455279706,0.45595396193005755,163819.90625,0.9563657382162409
141929_Laban_Searching_for_His_Stolen_Household_Gods,fig_011,1755.6777400132903,1629.8777302090482,183594,1585,1210,1920,2069,0.07814102983527088,0.464364763169544,168163.75,0.9842805320435308
141929_Laban_Searching_for_His_Stolen_Household_Gods,fig_012,1890.5457249070632,1214.7509293680298,2690,1871,1169,1915,1259,0.1069281902979842,0.482514386896857,0.0,0.0
141929_Laban_Searching_for_His_Stolen_Household_Gods,fig_013,2617.1216190715813,1742.2041766259906,31796,2537,1523,2699,1951,0.03370195587365777,0.32580787959274016,0.0,0.0
141929_Laban_Searching_for_His_Stolen_Household_Gods,fig_014,2737.0395505122838,1674.7802871727076,27231,2668,1501,2794,1867,0.03370195587365777,0.3355467020805666,0.0,0.0
141929_Laban_Searching_for_His_Stolen_Household_Gods,fig_015,3149.495809881176,1723.0614133833647,31980,3054,1523,3209,1925,0.025807421192386548,0.32580787959274016,0.0,0.0
141929_Laban_Searching_for_His_Stolen_Household_Gods,fig_016,3253.09471387987,1742.173244724026,39424,3189,1539,3334,1949,0.023648189350573064,0.3187250996015937,0.0,0.0
141929_Laban_Searching_for_His_Stolen_Household_Gods,fig_017,3349.31473506114,1734.4068676459278,26006,3304,1524,3393,1926,0.023648189350573064,0.32536520584329354,0.0,0.0
