painting_id,figure_id,centroid_x,centroid_y,mask_area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,iso_nearest_centroid_norm,elev_bbox_top,sal_sum,sal_high_coverage_50
143261_Landscape_with_Saint_John_the_Baptist,fig_001,148.46564031994495,1777.9219059086608,11627,90,1675,200,1886,0.05428951274914231,0.30984754841367945,588.9686279296875,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_002,204.84617550263573,2038.101876571495,103007,0,1758,440,2315,0.05347935825092203,0.2756489493201484,23710.833984375,0.08020814119428776
143261_Landscape_with_Saint_John_the_Baptist,fig_003,375.20073073516386,1773.0797165633303,18064,321,1640,430,1909,0.023855633937670803,0.32426864441697567,252.81959533691406,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_004,426.6401810202962,2064.8617114646186,36460,324,1954,530,2183,0.04238221264174197,0.19489081170168931,4258.423828125,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_005,474.8152029363264,1775.870205862014,18799,411,1651,537,1876,0.023855633937670803,0.3197362999587968,318.78826904296875,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_006,603.6393763262294,2060.8030999169664,54195,470,1842,722,2233,0.04238221264174197,0.24103831891223737,2872.58056640625,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_007,791.3084940713622,2112.775545052183,73204,625,1842,931,2281,0.04661622740176221,0.24103831891223737,6639.0400390625,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_008,914.5980532055855,1774.3683110794007,19622,850,1650,986,1872,0.0334937155761749,0.32014833127317677,1524.7216796875,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_009,997.1952412855026,2142.3572284142356,49257,876,1713,1091,2382,0.026332303398195433,0.2941903584672435,7688.80029296875,0.0015023245427045902
143261_Landscape_with_Saint_John_the_Baptist,fig_010,1044.4223322827554,1722.1960828455651,31094,980,1541,1107,2106,0.024150425223295528,0.3650597445405851,618.678466796875,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_011,1106.1000860600957,2126.877501693736,54613,1018,1880,1179,2397,0.026332303398195433,0.22538112896580142,27791.404296875,0.6121802501235969
143261_Landscape_with_Saint_John_the_Baptist,fig_012,1145.272787011983,1724.835910320835,25870,1089,1569,1213,1886,0.00885553189968285,0.35352286773794805,1534.035400390625,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_013,1182.2646894682293,1725.0843498365623,12543,1141,1598,1221,1841,0.00885553189968285,0.3415739596209312,343.1294250488281,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_014,1550.171578608938,1862.9437359339836,9331,1481,1777,1593,1937,0.04491134820052308,0.2678203543469304,44.447059631347656,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_015,1640.196175954992,2071.5576664356477,49058,1483,1847,1737,2299,0.0014165826957013242,0.23897816234033786,2661.35693359375,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_016,1644.412023344769,2075.7154067589418,50718,1484,1848,1773,2299,3.1840615144952303e-05,0.23856613102595803,2754.255126953125,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_017,1644.501734331888,2075.6172053606624,50740,1484,1848,1774,2298,3.1840615144952303e-05,0.23856613102595803,2753.643310546875,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_018,1732.3926276987888,1818.2972090573987,9495,1688,1742,1785,1884,0.023192426416934548,0.28224145035022663,13.36862850189209,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_019,1829.215127831501,1814.8712412240031,7549,1777,1747,1872,1875,0.01526739420491741,0.2801812937783271,3.3921568393707275,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_020,1829.359668148791,1878.6484654592778,18442,1760,1748,1886,1988,0.01526739420491741,0.2797692624639473,3.074510097503662,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_021,1903.1484960020307,1789.2113212336592,7879,1857,1715,1956,1862,0.018734242973301552,0.2933662958384837,8.568628311157227,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_022,1983.2847713342762,1766.521216407355,4242,1940,1727,2015,1816,0.01993762867766129,0.28842192006592504,0.03921568766236305,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_023,2004.037760847963,1562.6259246991278,9057,1967,1472,2050,1634,0.049061790542477085,0.3934899052327977,1.1254903078079224,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_024,2067.615118760438,1901.4476943774355,43112,1941,1708,2147,2110,0.03808923668145834,0.296250515039143,50.26667022705078,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_025,2756.8847815650506,2290.6429728756602,33328,2646,2188,2881,2395,0.15140910080558154,0.09847548413679441,6.313726425170898,0.0
143261_Landscape_with_Saint_John_the_Baptist,fig_026,3220.2570837642193,1860.1433298862462,4835,3186,1800,3255,1906,0.15140910080558154,0.2583436341161929,0.0,0.0
