painting_id,figure_id,centroid_x,centroid_y,mask_area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,iso_nearest_centroid_norm,elev_bbox_top,sal_sum,sal_high_coverage_50
145148_The_Betrayal_of_Christ,fig_001,59.56739844787807,1168.3530378242326,28606,0,1039,128,1302,0.05605895541061349,0.66222366710013,18.776472091674805,0.0
145148_The_Betrayal_of_Christ,fig_002,122.01668767212809,1417.6786397796761,42846,15,1287,220,1555,0.05605895541061349,0.5815994798439532,205.15293884277344,0.0
145148_The_Betrayal_of_Christ,fig_003,277.39456624096255,2151.7277491121436,385479,11,1315,728,3013,0.030751694814493653,0.5724967490247075,54675.17578125,0.016140957094939023
145148_The_Betrayal_of_Christ,fig_004,357.5753246753247,1234.5633766233766,73150,219,1057,485,1452,0.038381891400264066,0.6563719115734721,676.8392333984375,0.0
145148_The_Betrayal_of_Christ,fig_005,406.2126307149664,2209.047034847479,643289,13,1457,1024,3044,0.030751694814493653,0.526332899869961,109536.6953125,0.013249099549347183
145148_The_Betrayal_of_Christ,fig_006,462.84559034236264,1375.5839859116036,191931,17,1039,763,1681,0.038381891400264066,0.66222366710013,8312.263671875,0.0
145148_The_Betrayal_of_Christ,fig_007,799.6130746001566,1112.0562576892964,35764,694,991,891,1297,0.07721314766366542,0.6778283485045513,294.5568542480469,0.0
145148_The_Betrayal_of_Christ,fig_008,1009.5810156721765,1397.087068342454,319611,722,918,1283,1914,0.07721314766366542,0.7015604681404422,8885.5849609375,0.0
145148_The_Betrayal_of_Christ,fig_009,1141.3603992114342,794.020724494825,121740,850,535,1340,1033,0.08257859313367602,0.826072821846554,768.5372924804688,0.0
145148_The_Betrayal_of_Christ,fig_010,1417.1404749905907,1053.4384381319333,156761,1244,735,1585,1428,0.08257859313367602,0.7610533159947984,5046.64697265625,0.0
145148_The_Betrayal_of_Christ,fig_011,1481.2371639800579,1848.8829464306482,515892,1194,1227,1786,2560,0.14245085263712254,0.6011053315994799,96571.9921875,0.02183790405743838
145148_The_Betrayal_of_Christ,fig_012,1530.7530731510715,639.09867669779,44661,1423,498,1629,816,0.05509176087379584,0.8381014304291288,356.0902099609375,0.0
145148_The_Betrayal_of_Christ,fig_013,1766.4528060203347,548.2753716008859,37473,1673,422,1857,680,0.0259655448113785,0.8628088426527958,523.5255126953125,0.0
145148_The_Betrayal_of_Christ,fig_014,1882.810073013068,573.4560758963866,21503,1823,457,1944,700,0.0259655448113785,0.8514304291287387,548.9097900390625,0.0
145148_The_Betrayal_of_Christ,fig_015,2389.2917232499685,2673.05629444101,567747,1598,2057,3020,3003,0.23190834636162255,0.3312743823146944,179214.046875,0.09471120058758567
145148_The_Betrayal_of_Christ,fig_016,2417.8306133345714,562.3790045500975,86152,2156,353,2587,883,0.11671557531834947,0.8852405721716515,3692.55322265625,0.0
145148_The_Betrayal_of_Christ,fig_017,2753.790439184051,1043.3352176213416,466843,2515,313,2974,1789,0.127956716406275,0.8982444733420026,6524.685546875,0.0
145148_The_Betrayal_of_Christ,fig_018,3181.632441565756,1963.9875848032564,781220,2890,962,3393,3026,0.22142202032308456,0.6872561768530558,3200.204833984375,0.0
145148_The_Betrayal_of_Christ,fig_019,3315.8169204827595,874.5687693349442,75317,3186,632,3399,1180,0.12798794009237596,0.7945383615084525,13.525489807128906,0.0
