painting_id,figure_id,centroid_x,centroid_y,mask_area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,iso_nearest_centroid_norm,elev_bbox_top,sal_sum,sal_high_coverage_50
149292_Homage_to_a_Bishop,fig_001,178.22075918653357,2895.6786765744046,191231,24,2439,328,3289,0.081553682643755,0.28264705882352936,15.894120216369629,0.0
149292_Homage_to_a_Bishop,fig_002,321.710523680785,2411.8846500450586,9987,278,2335,361,2497,0.05961195734615206,0.31323529411764706,0.0,0.0
149292_Homage_to_a_Bishop,fig_003,456.3185554193359,2699.469229706629,115826,321,2342,636,2940,0.05306079949474288,0.3111764705882353,22.60392189025879,0.0
149292_Homage_to_a_Bishop,fig_004,554.6106165010061,2499.3387096774195,32798,463,2329,634,2675,0.001987278198532445,0.31499999999999995,58.9058837890625,0.0
149292_Homage_to_a_Bishop,fig_005,561.1623345468913,2504.4237010696243,35433,464,2329,664,2675,0.001987278198532445,0.31499999999999995,62.266666412353516,0.0
149292_Homage_to_a_Bishop,fig_006,773.8599730449273,2996.302268607963,150621,540,2652,1103,3211,0.10415629528211687,0.21999999999999997,0.0,0.0
149292_Homage_to_a_Bishop,fig_007,776.9276405567686,2486.563694050218,29312,707,2329,856,2623,0.03946361910161215,0.31499999999999995,2.505882501602173,0.0
149292_Homage_to_a_Bishop,fig_008,938.17294302067,2520.087674528818,27431,884,2331,985,2679,0.025058292340742746,0.3144117647058824,4.788235664367676,0.0
149292_Homage_to_a_Bishop,fig_009,1042.6090477678952,2514.686624421017,35191,980,2322,1121,2661,0.025058292340742746,0.3170588235294117,0.17647060751914978,0.0
149292_Homage_to_a_Bishop,fig_010,1281.8525179316348,2807.789029440893,133284,1137,2414,1400,3111,0.06958758698210091,0.29000000000000004,0.9647059440612793,0.0
149292_Homage_to_a_Bishop,fig_011,1358.1818513119533,2446.642006802721,8232,1313,2336,1400,2543,0.0462629766766332,0.3129411764705883,7.047059059143066,0.0
149292_Homage_to_a_Bishop,fig_012,1480.5416827628835,2595.9864019160937,38829,1394,2410,1557,2747,0.0462629766766332,0.29117647058823526,0.8235294818878174,0.0
149292_Homage_to_a_Bishop,fig_013,1685.7793209876543,2799.3128283425267,121824,1569,2427,1810,3134,0.05527065232507815,0.28617647058823525,2.9294121265411377,0.0
149292_Homage_to_a_Bishop,fig_014,1825.817213418835,2616.026736975992,37738,1648,2386,1904,2882,0.02966846020048748,0.29823529411764704,20.72157096862793,0.0
149292_Homage_to_a_Bishop,fig_015,1949.582148463781,2612.4966584435974,22295,1881,2480,2032,2712,0.020002748946040483,0.2705882352941177,6.294118404388428,0.0
149292_Homage_to_a_Bishop,fig_016,2032.218110532252,2600.6740963531875,18619,1963,2476,2088,2739,0.020002748946040483,0.2717647058823529,2.4784317016601562,0.0
149292_Homage_to_a_Bishop,fig_017,2166.192574261636,2697.8345706729256,117591,2066,2297,2293,3127,0.039656226623411575,0.3244117647058824,0.0,0.0
149292_Homage_to_a_Bishop,fig_018,2324.0105285323225,2822.8955351761897,137721,2211,2389,2419,3190,0.048250168864230884,0.2973529411764706,0.0,0.0
