painting_id,figure_id,centroid_x,centroid_y,mask_area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,iso_nearest_centroid_norm,elev_bbox_top,sal_sum,sal_high_coverage_50
150955_Saints_Presenting_a_Devout_Woman_to_the_Virgin_and_Child,fig_001,272.10540240603916,2030.3716448581567,236987,0,1615,746,2391,0.15534762745741426,0.525,68912.625,0.0027849628882596934
150955_Saints_Presenting_a_Devout_Woman_to_the_Virgin_and_Child,fig_002,650.4227241193247,1478.965518127393,38919,479,1163,967,1791,0.10157634878107813,0.6579411764705883,12300.87890625,0.00043680464554587733
150955_Saints_Presenting_a_Devout_Woman_to_the_Virgin_and_Child,fig_003,685.2583956930422,1043.1096449198978,459164,280,493,1246,1529,0.10157634878107813,0.855,155478.34375,0.12264898816109276
150955_Saints_Presenting_a_Devout_Woman_to_the_Virgin_and_Child,fig_004,910.937561055031,467.80901986323676,24568,819,335,1003,605,0.08408086020457316,0.9014705882352941,158.71372985839844,0.0
150955_Saints_Presenting_a_Devout_Woman_to_the_Virgin_and_Child,fig_005,1247.393871227505,601.2025943561375,228496,931,178,1528,997,0.08337463627208308,0.9476470588235294,34973.984375,0.0
150955_Saints_Presenting_a_Devout_Woman_to_the_Virgin_and_Child,fig_006,1386.4193967149015,2780.1224312214304,707924,928,1999,1757,3354,0.04804014460509138,0.4120588235294118,271780.1875,0.15233556144444885
150955_Saints_Presenting_a_Devout_Woman_to_the_Virgin_and_Child,fig_007,1531.6445887717882,2632.9039447881773,302399,1334,1998,1754,3246,0.04804014460509138,0.4123529411764706,136624.765625,0.2460127182960261
150955_Saints_Presenting_a_Devout_Woman_to_the_Virgin_and_Child,fig_008,1599.59380687145,532.2057160977224,72532,1393,310,1757,819,0.08337463627208308,0.9088235294117647,8145.4091796875,0.0
150955_Saints_Presenting_a_Devout_Woman_to_the_Virgin_and_Child,fig_009,1764.3161582771615,1303.9464318624741,255021,1515,792,1988,1706,0.1367677308915372,0.7670588235294118,27779.60546875,9.41098968320256e-05
150955_Saints_Presenting_a_Devout_Woman_to_the_Virgin_and_Child,fig_010,1906.8302875647041,2365.532434811399,123833,1667,2017,2149,2887,0.09053046882766878,0.4067647058823529,46508.02734375,0.1788860804470537
150955_Saints_Presenting_a_Devout_Woman_to_the_Virgin_and_Child,fig_011,2135.2269571507754,2030.7643339627782,106443,1632,1581,2424,2537,0.09414547806482747,0.5349999999999999,38183.69921875,0.16541247428201009
150955_Saints_Presenting_a_Devout_Woman_to_the_Virgin_and_Child,fig_012,2178.021113126943,2645.3891800259025,1117267,1653,1598,2633,3373,0.09053046882766878,0.53,370949.25,0.07957811337844937
150955_Saints_Presenting_a_Devout_Woman_to_the_Virgin_and_Child,fig_013,2208.8661756018314,271.7771193324472,54168,2028,79,2390,483,0.15392777141745678,0.976764705882353,243.54119873046875,0.0
150955_Saints_Presenting_a_Devout_Woman_to_the_Virgin_and_Child,fig_014,2287.923427722982,1034.801055662971,122577,2042,793,2572,1318,0.1367677308915372,0.7667647058823529,2113.478515625,0.0
