painting_id,figure_id,centroid_x,centroid_y,mask_area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,iso_nearest_centroid_norm,elev_bbox_top,sal_sum,sal_high_coverage_50
met_436984_The_Adoration_of_the_Magi,fig_001,105.11269397099974,391.09170694479775,7862,61,315,156,459,0.025127031377150316,0.4951923076923077,7829.08642578125,1.0
met_436984_The_Adoration_of_the_Magi,fig_002,115.03160521208761,373.6550688476111,43284,26,170,216,565,0.0012591322424783833,0.7275641025641026,42723.5390625,0.9956103872100546
met_436984_The_Adoration_of_the_Magi,fig_003,115.19319652431133,372.66289979663526,43272,26,170,217,564,0.0012591322424783833,0.7275641025641026,42729.90234375,0.9961175818080976
met_436984_The_Adoration_of_the_Magi,fig_004,249.69907611086668,211.3809942806863,2273,225,169,275,268,0.09228542736931267,0.7291666666666667,1669.7764892578125,0.8284205895292565
met_436984_The_Adoration_of_the_Magi,fig_005,301.8142857142857,159.3010989010989,910,283,140,317,176,0.039741399632104164,0.7756410256410257,240.13333129882812,0.13626373626373625
met_436984_The_Adoration_of_the_Magi,fig_006,306.4648187633262,262.75331136525165,15477,218,174,388,343,0.09589674221085262,0.7211538461538461,14321.03515625,0.9389416553595658
met_436984_The_Adoration_of_the_Magi,fig_007,316.8376403759553,455.75475082684005,53517,179,305,467,592,0.2347077621045131,0.5112179487179487,39666.32421875,0.7521722069622737
met_436984_The_Adoration_of_the_Magi,fig_008,330.18663594470047,173.50230414746545,434,318,162,341,189,0.039741399632104164,0.7403846153846154,27.19607925415039,0.03456221198156682
met_436984_The_Adoration_of_the_Magi,fig_009,427.41060503059146,179.75662814411965,1471,404,158,449,199,0.040511080285342824,0.7467948717948718,67.09412384033203,0.0
met_436984_The_Adoration_of_the_Magi,fig_010,427.51019977490154,304.5482554867755,14216,351,199,467,441,0.1488362632519211,0.6810897435897436,2230.447021484375,0.11135340461451886
met_436984_The_Adoration_of_the_Magi,fig_011,458.17134831460675,189.74719101123594,712,445,169,467,211,0.040511080285342824,0.7291666666666667,10.149020195007324,0.0
