painting_id,figure_id,centroid_x,centroid_y,mask_area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,iso_nearest_centroid_norm,elev_bbox_top,sal_sum,sal_high_coverage_50
met_437219_The_Dispatch-Bearer,fig_001,110.70809848709581,149.57964995550282,3371,85,97,154,205,0.12480117226971069,0.7562814070351759,3221.521728515625,0.9735983387718777
met_437219_The_Dispatch-Bearer,fig_002,124.95794392523365,238.19444444444446,3852,76,187,156,308,0.0010403281319828655,0.5301507537688442,3540.2470703125,0.9675493250259606
met_437219_The_Dispatch-Bearer,fig_003,125.3519801980198,238.83044554455446,4040,75,187,161,308,0.0010403281319828655,0.5301507537688442,3678.58837890625,0.9606435643564356
met_437219_The_Dispatch-Bearer,fig_004,200.0032994923858,255.50710659898476,3940,159,194,246,321,0.06050166493993409,0.5125628140703518,3720.1650390625,0.9923857868020305
met_437219_The_Dispatch-Bearer,fig_005,218.06730769230768,215.92307692307693,1768,191,183,241,239,0.06050166493993409,0.5402010050251256,431.494140625,0.023755656108597284
met_437219_The_Dispatch-Bearer,fig_006,267.89608636977056,213.92442645074223,1482,249,183,291,236,0.06934225487402529,0.5402010050251256,211.85491943359375,0.0465587044534413
met_437219_The_Dispatch-Bearer,fig_007,332.30125832716504,197.99333826794967,1351,319,161,343,236,0.05108722669867809,0.5954773869346734,167.29806518554688,0.0022205773501110288
met_437219_The_Dispatch-Bearer,fig_008,360.5820843499477,221.44649703729522,2869,344,166,382,295,0.05108722669867809,0.5829145728643217,651.3489990234375,0.1986754966887417
met_437219_The_Dispatch-Bearer,fig_009,366.2049689440994,160.9689440993789,483,351,145,376,178,0.06980587092030917,0.635678391959799,9.717647552490234,0.0
met_437219_The_Dispatch-Bearer,fig_010,396.8254128070882,239.5201369311317,4966,368,161,426,309,0.0563146931400578,0.5954773869346734,3911.8427734375,0.8632702376157874
met_437219_The_Dispatch-Bearer,fig_011,443.56744838645017,243.42934455802765,4989,401,163,472,328,0.00010885653486896432,0.5904522613065326,4132.89453125,0.8951693726197635
met_437219_The_Dispatch-Bearer,fig_012,443.5935754189944,243.35554668794893,5012,402,163,472,328,0.00010885653486896432,0.5904522613065326,4138.1455078125,0.8914604948124502
met_437219_The_Dispatch-Bearer,fig_013,463.4579180509413,154.48062015503876,1806,444,112,483,202,0.12662909418375207,0.7185929648241206,35.48235321044922,0.014950166112956811
