painting_id,figure_id,centroid_x,centroid_y,mask_area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,iso_nearest_centroid_norm,elev_bbox_top,sal_sum,sal_high_coverage_50
met_841475_People_of_the_Prophets_House_with_Companions,fig_001,43.81873398500522,539.4313371927493,10537,2,442,108,602,0.09973087940397657,0.29166666666666663,10403.5615234375,0.999335674290595
met_841475_People_of_the_Prophets_House_with_Companions,fig_002,112.86511147456314,495.48764741327363,11617,61,393,176,569,0.09973087940397657,0.3701923076923077,11485.501953125,0.997934062150297
met_841475_People_of_the_Prophets_House_with_Companions,fig_003,147.95501252050772,372.4110180468008,11581,102,268,194,460,0.09395250772664511,0.5705128205128205,11499.05859375,0.9993092133667214
met_841475_People_of_the_Prophets_House_with_Companions,fig_004,218.35894822666123,403.84366082348146,4906,186,336,246,455,0.09395250772664511,0.46153846153846156,4871.125,1.0
met_841475_People_of_the_Prophets_House_with_Companions,fig_005,258.6065712592091,531.6288424083326,11809,198,437,317,594,0.1252809760795509,0.2996794871794872,11497.5263671875,0.9939876365483953
met_841475_People_of_the_Prophets_House_with_Companions,fig_006,278.5247483000369,332.50635180011597,18971,190,205,362,451,0.10339296144735896,0.671474358974359,18864.224609375,0.9996310157608982
met_841475_People_of_the_Prophets_House_with_Companions,fig_007,328.0950561261046,401.36995462144733,4187,291,338,359,449,0.10339296144735896,0.45833333333333337,4076.690185546875,0.9816097444470981
met_841475_People_of_the_Prophets_House_with_Companions,fig_008,360.67830378358616,519.3157558033266,10942,313,426,417,584,0.1252809760795509,0.3173076923076923,10715.17578125,0.9913178577956497
met_841475_People_of_the_Prophets_House_with_Companions,fig_009,416.60574338661763,379.4603197057575,14138,361,265,470,469,0.00019749144009163381,0.5753205128205128,13910.8076171875,0.9995048804639978
met_841475_People_of_the_Prophets_House_with_Companions,fig_010,416.7120051085568,379.3379452249184,14094,362,266,470,469,0.00019749144009163381,0.5737179487179487,13872.8125,0.9995742869306088
met_841475_People_of_the_Prophets_House_with_Companions,fig_011,474.06497908553297,489.85302177989325,13866,404,377,532,563,0.14275528247682584,0.39583333333333337,13756.564453125,0.999423049185057
met_841475_People_of_the_Prophets_House_with_Companions,fig_012,506.2924165512998,362.38317181972,6501,471,281,532,453,0.1110959538737658,0.5496794871794872,6201.85498046875,0.9706199046300569
