painting_id,n_yolo_figures,n_important_figs,top_fig_id,top_is_important,best_imp_combo,best_imp_sal_sum,n_important_in_top3
170803_Hulagu_Khan_giving_a_feast_and_dispensing_favor_upon_the_amirs_and_princes_from_a_Chingiz-,35,1,fig_025,True,0.8552757786874382,100039.234375,1
143261_Landscape_with_Saint_John_the_Baptist,26,1,fig_002,True,0.664994148837257,23710.833984375,1
156420_Hermes_Ordering_Calypso_to_Release_Odysseus,23,3,fig_008,True,0.6821628485749949,263089.1875,2
146183_Circumcision_ceremony_for_Akbars_sons_painting_126_from_an_Akbar-nama_Book_of_Akbar_of_Abu,20,1,fig_007,False,0.6852382322576133,12654.6669921875,1
145148_The_Betrayal_of_Christ,19,2,fig_015,False,0.3919773174903023,6524.685546875,0
140152_Esther_Ahasuerus_and_Haman,19,2,fig_014,True,0.700166188451148,776494.75,2
137372_The_infant_son_of_the_king_of_Isfahan_responds_to_music_from_a_Tuti-nama_Tales_of_a_Parrot,18,2,fig_018,False,0.6420005760467677,27228.578125,1
149292_Homage_to_a_Bishop,18,1,fig_005,False,0.5247919836767443,22.60392189025879,1
met_436564_Saint_Zenobius_Resuscitating_a_Dead_Child,18,2,fig_017,False,0.6272184405028555,18604.0078125,1
141929_Laban_Searching_for_His_Stolen_Household_Gods,17,2,fig_011,True,0.8500840423839737,168163.75,2
met_436104_The_Adoration_of_the_Magi,17,1,fig_015,False,0.1589467066265113,1603.7373046875,0
159488_The_Trinity,16,1,fig_011,True,0.71492164889131,474043.4375,1
122350_Tarquinius_Priscus_Entering_Rome,16,1,fig_012,False,0.4711910106718703,9656.3330078125,0
97181_Preparation_for_the_Crucifixion,16,1,fig_008,True,0.8024104007607621,341344.3125,1
met_438665_Pope_Gregory_XVI_Visiting_the_Church_of_San_Benedetto_at_Subiaco,15,1,fig_006,True,0.7512097196445459,1243.180419921875,1
153636_Hindu_God_Krishna_Talking_to_Elders,14,1,fig_001,False,0.5204736936787407,8176.40869140625,1
