painting_id,via_box_index,matched_figure,matched_by
105224_The_Ghost_Story,0,fig_003,centroid in box
108541_The_Holy_Family_with_Mary_Magdalen,0,fig_002,centroid in box
108541_The_Holy_Family_with_Mary_Magdalen,1,fig_002,centroid in box
111479_The_Miracles_of_Saint_James_the_Greater,0,fig_003,centroid in box
111479_The_Miracles_of_Saint_James_the_Greater,1,fig_006,centroid in box
112625_The_Offering,0,fig_003,centroid in box
112856_The_Crucifixion_with_a_Carthusian_Monk,0,fig_002,centroid in box
115394_Adoration_of_the_Magi,0,fig_003,centroid in box
115394_Adoration_of_the_Magi,1,fig_004,centroid in box
115783_Death_of_the_Virgin,0,fig_003,centroid in box
118679_Lazarus_and_the_Rich_Man,0,fig_001,centroid in box
118679_Lazarus_and_the_Rich_Man,1,fig_005,centroid in box
119698_The_Crucifixion,0,fig_004,centroid in box
122339_Virgin_and_Child_with_Saints_and_Donors,0,fig_003,centroid in box
122339_Virgin_and_Child_with_Saints_and_Donors,1,fig_004,centroid in box
122350_Tarquinius_Priscus_Entering_Rome,0,fig_006,centroid in box
124084_Declaration_of_Love,0,fig_001,centroid in box
124084_Declaration_of_Love,1,fig_002,centroid in box
124090_John_the_Baptist_being_carried_to_Zacharias,0,fig_004,nearest fallback
124090_John_the_Baptist_being_carried_to_Zacharias,1,fig_004,centroid in box
124117_Diptych_with_the_Passion_of_Christ_left_wingFlagellation_and_Christ_Before_Pilate,0,fig_003,nearest fallback
124117_Diptych_with_the_Passion_of_Christ_left_wingFlagellation_and_Christ_Before_Pilate,1,fig_002,centroid in box
124118_Diptych_with_the_Passion_of_Christ_right_wing_Crowning_with_Thorns_and_Agony_on_the_Garden,0,fig_005,centroid in box
124118_Diptych_with_the_Passion_of_Christ_right_wing_Crowning_with_Thorns_and_Agony_on_the_Garden,1,fig_006,centroid in box
124679_The_Rathskeller,0,fig_001,centroid in box
125248_The_Coronation_of_the_Virgin_with_the_Trinity,0,fig_001,nearest fallback
125248_The_Coronation_of_the_Virgin_with_the_Trinity,1,fig_002,centroid in box
125248_The_Coronation_of_the_Virgin_with_the_Trinity,2,fig_001,centroid in box
126243_A_Storm_Behind_the_Isle_of_Wight,0,fig_001,centroid in box
126243_A_Storm_Behind_the_Isle_of_Wight,1,fig_001,centroid in box
126768_Holy_Family_with_a_Shepherd,0,fig_001,nearest fallback
126768_Holy_Family_with_a_Shepherd,1,fig_001,centroid in box
127746_Baptism_of_Christ,0,fig_003,centroid in box
127746_Baptism_of_Christ,1,fig_005,centroid in box
128373_Virgin_and_Child_Enthroned,0,fig_001,centroid in box
128373_Virgin_and_Child_Enthroned,1,fig_001,centroid in box
128389_The_Adoration_of_the_Magi,0,fig_002,centroid in box
128389_The_Adoration_of_the_Magi,1,fig_001,centroid in box
128839_Altarpiece_with_The_Passion_of_Christ,0,fig_009,centroid in box
128839_Altarpiece_with_The_Passion_of_Christ,1,fig_007,centroid in box
129220_The_Mass_of_Saint_Gregory,0,fig_007,centroid in box
129220_The_Mass_of_Saint_Gregory,1,fig_006,centroid in box
129805_Abraham_Welcoming_the_Three_Angels,0,fig_001,centroid in box
130495_Toilette_of_Radha,0,fig_001,centroid in box
132647_Sketch_for_The_Assumption_of_the_Virgin_for_St_James_Zbraslav_near_Prague,0,fig_006,centroid in box
134237_Virgin_and_Child_with_Saint_Jerome_and_Saint_Catherine_of_Alexandria,0,fig_002,centroid in box
134237_Virgin_and_Child_with_Saint_Jerome_and_Saint_Catherine_of_Alexandria,1,fig_003,centroid in box
134620_Adoration_of_the_Magi,0,fig_002,nearest fallback
134620_Adoration_of_the_Magi,1,fig_002,centroid in box
135311_The_Nativity,0,fig_006,nearest fallback
135311_The_Nativity,1,fig_006,centroid in box
135480_The_Apple_Seller,0,fig_001,centroid in box
135659_The_Immaculate_Conception,0,fig_002,centroid in box
135661_Diana_and_Her_Nymphs_Departing_for_the_Hunt,0,fig_003,centroid in box
136507_The_Trinity,0,fig_003,centroid in box
136865_Portable_Triptych_Icon_Adoration_of_the_Miracle-Working_Icon_of_the_Vladimir_Mother_of_God,0,fig_001,centroid in box
136865_Portable_Triptych_Icon_Adoration_of_the_Miracle-Working_Icon_of_the_Vladimir_Mother_of_God,1,fig_002,centroid in box
136865_Portable_Triptych_Icon_Adoration_of_the_Miracle-Working_Icon_of_the_Vladimir_Mother_of_God,2,fig_002,centroid in box
137195_Rest_on_the_Flight_into_Egypt,0,fig_004,centroid in box
137195_Rest_on_the_Flight_into_Egypt,1,fig_004,centroid in box
137372_The_infant_son_of_the_king_of_Isfahan_responds_to_music_from_a_Tuti-nama_Tales_of_a_Parrot,0,fig_014,centroid in box
137372_The_infant_son_of_the_king_of_Isfahan_responds_to_music_from_a_Tuti-nama_Tales_of_a_Parrot,1,fig_011,centroid in box
137409_The_daughter-in-law_returns_from_her_misadventure_feigning_insanity_from_a_Tuti-nama_Tales,0,fig_002,centroid in box
